id карточки,id связи с точкой (поле id в выгрузке),id точки,Координаты точки,Кадастровый номер ОКСа,Наименование ОКСа,Площадь ОКСа,Адрес ОКСа из ГКН,Иной найденный адрес,Комментарий,Инвентарный номер БТИ,Иные сведения ОКС,Кадастровый номер ЗУ,ВРИ,Площадь ЗУ,Адрес ЗУ из ГКН,Район/округ,Поселение,Населенный пункт,Эл# план стр#,Улица,Номер здания,Адрес ФИАС,Полнота исходного адреса,Почтовый индекс,Номер заявки в РЛДД,Дата заявки,Дата передачи в ОМС для внесения а,ОКТМО,Код ФИАС,Код КЛАДР,ОКАТО,Статус,Объект отмечен на отправку,Объект адресации в ФИАС,Признак принадлежности объекта,"Дата документа, на основании котор","Номер документа, на основании кото",Объект отправлен,Результат получен,Дата отправки,Дата получения результата,Статус техпроцесса Адресации,Дата создания карточки,ФИО пользователя создавшего карточку,Дата последней версии строки,Тип последнего изменения,Дата отчета Желтые,Дата отчета Синие,Дата отчета Зеленые,Для загрузки в РГИС,Stamp,Ошибка,Автор изменения строки
668958600,668958600,575707485,POINT(37.7302864670469 55.5550749523366),50:21:0010219:241,Профилакторий,7138.2,"Московская область,Ленинский р-н,Видное г,Заводская ул,15","Московская область, р-н Ленинский, г Видное, ул Заводская",,,,50:21:0010216:2,для обслуживания лечебно-оздоровительных учреждений,3081.6,"обл. Московская, р-н Ленинский, г. Видное, профилакторий",Ленинский городской округ,,,,,,,,,,,,,,,,Синяя точка,да,да,,,,,,,,,Jan 18 2020 10:41PM,Администратор,6/11/2020,2,Март 2020,Март 2020,,,,,MOBTI\s.pakhomov
668953612,668953612,575707487,POINT(37.7306990117553 55.5548233781668),50:21:0010216:20,Бассейн,265,"Московская область, р-н Ленинский, г Видное, ул Заводская","Московская область, р-н Ленинский, г Видное, ул Заводская",,,,50:21:0010216:2,для обслуживания лечебно-оздоровительных учреждений,365.2,"обл. Московская, р-н Ленинский, г. Видное, профилакторий",Ленинский городской округ,,,,,,,,,,,,,,,,Синяя точка,да,да,,,,,,,,,Jan 18 2020 10:41PM,Администратор,6/11/2020,2,Март 2020,Март 2020,,,,,MOBTI\s.pakhomov
668885902,668885902,575707561,POINT(37.7534914076534 55.5708088152722),50:21:0040112:6459,производственно-складской комплекс,11447.7,"Московская область, р-н Ленинский, г Видное, Северная промзона, уч 177Ю",,,,,50:21:0040112:7345,,8063.7,"Московская область, Ленинский район, г. Видное",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Jan 18 2020 10:41PM,Администратор,6/11/2020,2,,,,,,,MOBTI\s.pakhomov
668896619,668896619,575707563,POINT(37.754444394562 55.5714807304765),50:21:0040112:8937,Нежилое здание,91.9,"Московская область, р-н Ленинский, г Видное",,,,,50:21:0040112:7346,,106.9,"Московская область, Ленинский район, г. Видное",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Jan 18 2020 10:41PM,Администратор,6/13/2020,2,,,,,,,MOBTI\s.pakhomov
719073937,719073937,575714139,POINT(37.7316402219574 55.5585684568322),,,,,"Московская область, Ленинский муниципальный район, городское поселение Видное, г. Видное, ул. Средняя, дом 2а",,,,50:21:0010213:16,Для ведения личного подсобного хозяйства,85.3,"Московская область, Ленинский район, г. Видное, ул. Средняя, уч. 2/1, дом 2",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Feb 22 2020  9:48AM,Администратор,6/13/2020,2,,,,,,,MOBTI\s.pakhomov
668994005,668994005,575714141,POINT(37.7317906966554 55.5586300929485),50:21:0010213:215,Акт определения кадастровой стоимости объектов недвижимости,103.6,"Московская область, Ленинский муниципальный район, городское поселение Видное, г. Видное, ул. Средняя, дом 2а",,,,,50:21:0010213:16,,62.1,"Московская область, Ленинский район, г. Видное, ул. Средняя, уч. 2/1, дом 2",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Jan 18 2020 10:41PM,Администратор,6/11/2020,2,,,,,,,MOBTI\s.pakhomov
668993996,668993996,575714143,POINT(37.7324827729477 55.558556611507),50:21:0010213:214,Акт определения кадастровой стоимости объектов недвижимости,96.4,"Московская область, Ленинский муниципальный район, городское поселение Видное, г. Видное, ул. Средняя, д. 4",,,,,,,119.4,,Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Jan 18 2020 10:41PM,Администратор,6/11/2020,2,,,,,,,MOBTI\s.pakhomov
668994016,668994016,575714145,POINT(37.732367019625 55.5587660426132),50:21:0010213:216,Акт определения кадастровой стоимости объектов недвижимости,155.3,"Московская область, Ленинский муниципальный район, городское поселение Видное, г. Видное, ул. Центральная, дом 78 а",,,,,50:21:0010213:217,,129.7,"Московская область , Ленинский муниципальный район, городское поселение Видное, г.Видное, ул.Центральная, участок №78 А",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Jan 18 2020 10:41PM,Администратор,6/11/2020,2,,,,,,,MOBTI\s.pakhomov
668994027,668994027,575714149,POINT(37.7339856342745 55.5584243657375),50:21:0010213:223,жилой дом,57.5,"Московская область, р-н Ленинский, г Видное, ул Средняя, д 7",,,,,50:21:0010213:71,,42.1,"обл. Московская, р-н Ленинский, г. Видное, ул. Средняя, дом 7",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Jan 18 2020 10:41PM,Администратор,6/11/2020,2,,,,,,,MOBTI\s.pakhomov
668953561,668953561,575714151,POINT(37.7249300373883 55.5578681262883),50:21:0010214:398,Жилой дом,263.1,"Российская Федерация, Московская область, Ленинский муниципальный район, сельское поселение Видное, г. Видное, ул.  Лесная, дом № 18в",,,,,50:21:0010214:225,,143.9,"Московская область, Ленинский муниципальный район, городское поселение Видное, г. Видное",Ленинский городской округ,,,,,,,,,,,,,,,,Желтая точка,,,,,,,,,,,Jan 18 2020 10:41PM,Администратор,6/13/2020,2,,,,да        ,,,MOBTI\s.pakhomov
